UserEmail,UserPoints,UserName
a.smith101@gmail.com,450,Aaron Smith
a.johnson202@yahoo.com,120,Abigail Johnson
a.williams303@hotmail.com,0,Adam Williams
a.brown404@outlook.com,890,Adrian Brown
a.jones505@gmail.com,1500,Aaliyah Jones
a.miller606@yahoo.com,320,Alexander Miller
a.davis707@icloud.com,75,Amelia Davis
a.garcia808@gmail.com,2100,Andrew Garcia
a.rodriguez909@hotmail.com,50,Anna Rodriguez
a.wilson1010@yahoo.com,640,Anthony Wilson
a.martinez1111@gmail.com,0,Ashley Martinez
a.anderson1212@outlook.com,1250,Austin Anderson
a.taylor1313@gmail.com,310,Ava Taylor
a.thomas1414@yahoo.com,85,Avery Thomas
a.hernandez1515@hotmail.com,420,Benjamin Hernandez
a.moore1616@gmail.com,980,Bella Moore
a.martin1717@icloud.com,150,Blake Martin
a.jackson1818@yahoo.com,2300,Brandon Jackson
a.thompson1919@gmail.com,15,Brianna Thompson
a.white2020@outlook.com,560,Bryan White
b.lopez2121@gmail.com,720,Caleb Lopez
b.lee2222@yahoo.com,0,Cameron Lee
b.gonzalez2323@hotmail.com,1100,Camila Gonzalez
b.harris2424@gmail.com,340,Carlos Harris
b.clark2525@icloud.com,890,Caroline Clark
b.lewis2626@yahoo.com,205,Carter Lewis
b.robinson2727@gmail.com,45,Charlotte Robinson
b.walker2828@outlook.com,1750,Chloe Walker
b.perez2929@gmail.com,610,Christian Perez
b.hall3030@yahoo.com,90,Christopher Hall
c.young3131@hotmail.com,1320,Claire Young
c.allen3232@gmail.com,0,Colton Allen
c.sanchez3333@icloud.com,480,Daniel Sanchez
c.wright3434@yahoo.com,820,David Wright
c.king3535@gmail.com,260,Dominic King
c.scott3636@outlook.com,140,Dylan Scott
c.torres3737@gmail.com,950,Eleanor Torres
c.nguyen3838@yahoo.com,210,Eli Nguyen
c.hill3939@hotmail.com,0,Elijah Hill
c.flores4040@gmail.com,3100,Elizabeth Flores
d.green4141@icloud.com,540,Ella Green
